0.000000000000000000e+00,3.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.530059396884078743e-02,3.238950750277010293e+00,5.530059396884078327e-01,1.389507502770100933e+00
1.609955024816238645e-01,3.471738639049566810e+00,1.056949085127830701e+00,2.327878887725566059e+00
3.070525880461925095e-01,3.717304568852919378e+00,1.460570855645686450e+00,2.455659298033524784e+00
4.850352040184124913e-01,3.898223375784841238e+00,1.779826159722199597e+00,1.809188069319218828e+00
6.935338759831581879e-01,3.971714441130733686e+00,2.084986719647456965e+00,7.349106534589244788e-01
9.341893635450898570e-01,3.925786293471345889e+00,2.406554875619316913e+00,-4.592814765938784127e-01
1.207721278966198186e+00,3.772536741803468541e+00,2.735319154211083070e+00,-1.532495516678774150e+00
1.160307488631083128e+00,2.878264534865376589e+00,-4.741379033511505803e-01,-8.942722069380916849e+00
1.121984805465113810e+00,2.072663428029303478e+00,-3.832268316596939561e-01,-8.056011068360730221e+00
1.095801245934816315e+00,1.489639808875723892e+00,-2.618355953029747885e-01,-5.830236191535794532e+00
1.073981512631553725e+00,1.140194333543603999e+00,-2.181973330326256733e-01,-3.494454753321198481e+00
1.054591755204238313e+00,1.000392666844063250e+00,-1.938975742731536556e-01,-1.398016666995406831e+00
1.043055094512263414e+00,1.045330532597427364e+00,-1.153666069197482047e-01,4.493786575336420896e-01
1.034395001793859903e+00,1.285219809183206996e+00,-8.660092718403543388e-02,2.398892765857795872e+00
1.028480147369649433e+00,1.741506085714623620e+00,-5.914854424210438250e-02,4.562862765314164903e+00
1.022977729704529937e+00,2.420118234540560298e+00,-5.502417665119502255e-02,6.786121488259365897e+00
1.019918182537330686e+00,3.248460901410633817e+00,-3.059547167199263076e-02,8.283426668700732520e+00
1.016969732170139418e+00,4.044856351015293505e+00,-2.948450367191279495e-02,7.963954496046597775e+00
9.892881791682179848e-01,4.617562140529144266e+00,-2.768155300192143842e-01,5.727057895138503163e+00
9.666107130476848663e-01,4.957342835852286633e+00,-2.267746612053307131e-01,3.397806953231420568e+00
8.963930901132526330e-01,5.098080266849658315e+00,-7.021762293443221115e-01,1.407374309973718596e+00
7.904325329763751684e-01,5.056134354585039681e+00,-1.059605571368774424e+00,-4.194591226461889533e-01
